"Supplier","Price","SKU","Category","Product","Model","SKU Status","Quantities recommended",
"Boomerce"," 803","010114-071203","iPhone","iphone-12-pro128 GBExcellentGraphite","iphone-12-pro","Free market","25",
"Boomerce"," 983","010118-081602-TDRA","iPhone","iphone-13256 GBVery GoodStarlight TDRA","iphone-13","Free market","25",
"Boomerce"," 794","010118-071103","iPhone","iphone-13128 GBExcellentBlue","iphone-13","Free market","25",
"Boomerce"," 983","010118-081402-TDRA","iPhone","iphone-13256 GBVery GoodMidnight TDRA","iphone-13","Free market","25",
"Boomerce"," 1,681","010120-090302-TDRA","iPhone","iphone-13-pro-max512 GBVery GoodGold TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 983","010118-081102-TDRA","iPhone","iphone-13256 GBVery GoodBlue TDRA","iphone-13","Free market","25",
"Boomerce"," 1,166","010119-070302-TDRA","iPhone","iphone-13-pro128 GBVery GoodGold TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 983","010118-081902-TDRA","iPhone","iphone-13256 GBVery GoodGreen TDRA","iphone-13","Free market","25",
"Boomerce"," 1,247","010120-070302-TDRA","iPhone","iphone-13-pro-max128 GBVery GoodGold TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,247","010120-071802-TDRA","iPhone","iphone-13-pro-max128 GBVery GoodSierra Blue TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,247","010120-071202-TDRA","iPhone","iphone-13-pro-max128 GBVery GoodGraphite TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,247","010120-071702-TDRA","iPhone","iphone-13-pro-max128 GBVery GoodAlpine Green TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,399","010119-090302-TDRA","iPhone","iphone-13-pro512 GBVery GoodGold TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 1,399","010119-090502-TDRA","iPhone","iphone-13-pro512 GBVery GoodSilver TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 1,166","010119-071702-TDRA","iPhone","iphone-13-pro128 GBVery GoodAlpine Green TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 1,399","010119-091802-TDRA","iPhone","iphone-13-pro512 GBVery GoodSierra Blue TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 1,399","010119-091202-TDRA","iPhone","iphone-13-pro512 GBVery GoodGraphite TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 276","020401-028451","Laptop","dell-chromebook-11-3180-celeron-n3060-11.64 GBEnglish32 GB SSD","dell-chromebook-11-3180","Free market","25",
"Boomerce"," 1,399","010119-091702-TDRA","iPhone","iphone-13-pro512 GBVery GoodAlpine Green TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 1,235","010119-081802-TDRA","iPhone","iphone-13-pro256 GBVery GoodSierra Blue TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 1,235","010119-081702-TDRA","iPhone","iphone-13-pro256 GBVery GoodAlpine Green TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 1,235","010119-080502-TDRA","iPhone","iphone-13-pro256 GBVery GoodSilver TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 1,235","010119-080302-TDRA","iPhone","iphone-13-pro256 GBVery GoodGold TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 1,247","010120-070502-TDRA","iPhone","iphone-13-pro-max128 GBVery GoodSilver TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,235","010119-081202-TDRA","iPhone","iphone-13-pro256 GBVery GoodGraphite TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 1,357","010120-081802-TDRA","iPhone","iphone-13-pro-max256 GBVery GoodSierra Blue TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,681","010120-091802-TDRA","iPhone","iphone-13-pro-max512 GBVery GoodSierra Blue TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,048","010118-091602-TDRA","iPhone","iphone-13512 GBVery GoodStarlight TDRA","iphone-13","Free market","25",
"Boomerce"," 1,681","010120-091202-TDRA","iPhone","iphone-13-pro-max512 GBVery GoodGraphite TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,166","010119-070502-TDRA","iPhone","iphone-13-pro128 GBVery GoodSilver TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 1,166","010119-071202-TDRA","iPhone","iphone-13-pro128 GBVery GoodGraphite TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 1,357","010120-080302-TDRA","iPhone","iphone-13-pro-max256 GBVery GoodGold TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,048","010118-091402-TDRA","iPhone","iphone-13512 GBVery GoodMidnight TDRA","iphone-13","Free market","25",
"Boomerce"," 1,048","010118-091902-TDRA","iPhone","iphone-13512 GBVery GoodGreen TDRA","iphone-13","Free market","25",
"Boomerce"," 1,048","010118-091102-TDRA","iPhone","iphone-13512 GBVery GoodBlue TDRA","iphone-13","Free market","25",
"Boomerce"," 1,357","010120-081702-TDRA","iPhone","iphone-13-pro-max256 GBVery GoodAlpine Green TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,357","010120-081202-TDRA","iPhone","iphone-13-pro-max256 GBVery GoodGraphite TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,166","010119-071802-TDRA","iPhone","iphone-13-pro128 GBVery GoodSierra Blue TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 1,357","010120-080502-TDRA","iPhone","iphone-13-pro-max256 GBVery GoodSilver TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,681","010120-091702-TDRA","iPhone","iphone-13-pro-max512 GBVery GoodAlpine Green TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 34","06-842-00-76-345-00-00-00-00-07","Accessories","ugreen-30w-pd-fast-charger-uk-CD127--Not Relevant-White---New","ugreen-30w-pd-fast-charger-uk-CD127","Free market","24",
"Boomerce"," 1,249","010119-071201","iPhone","iphone-13-pro128 GBGoodGraphite","iphone-13-pro","Free market","24",
"Boomerce"," 485","010116-061101","iPhone","iphone-12-mini64 GBGoodBlue","iphone-12-mini","Free market","24",
"Boomerce"," 865","010118-071603","iPhone","iphone-13128 GBExcellentStarlight","iphone-13","Free market","23",
"Boomerce"," 1,326","010123-075001","iPhone","iphone-14-pro128 GBGoodSpace Black","iphone-14-pro","Free market","23",
"Boomerce"," 1,445","010126-070101","iPhone","iphone-15128 GBGoodBlack","iphone-15","Free market","22",
"Boomerce"," 9,999","010113-060102","iPhone","iphone-1264 GBVery GoodBlack","iphone-12","Free market","22",
"Boomerce"," 1,082","010122-071603","iPhone","iphone-14128 GBExcellentStarlight","iphone-14","Free market","21",
"Boomerce"," 165","0601196-000201","Audio","airpods-2nd-genAirpods + CaseGoodWhite","airpods-2nd-gen","Free market","21",
"Boomerce"," 510","010116-071103","iPhone","iphone-12-mini128 GBExcellentBlue","iphone-12-mini","Free market","21",
"Boomerce"," 427","020443-038551","Laptop","dell-latitude-5490-core-i5-8th-gen-148 GBEnglish128 GB SSD","dell-latitude-5490","Free market","21",
"Boomerce"," 855","020499-048651","Laptop","dell-latitude-5420-intel-core-i7-11th-gen-1416 GBEnglish256 GB SSD","dell-latitude-5420","Free market","21",
"Boomerce"," 417","020461-038651","Laptop","dell-latitude-7480-core-i5-7th-gen-148 GBEnglish256 GB SSD","dell-latitude-7480","Free market","21",
"Boomerce"," 91","08-804-206-17-292-00-02-19-00-01","Tablet","iPad-mini-2-A1489-Wi-Fi-16 GB-Silver--7.9-Good","iPad-mini-2","Free market","20",
"Boomerce"," 92","08-804-206-17-292-00-02-19-00-02","Tablet","iPad-mini-2-A1489-Wi-Fi-16 GB-Silver--7.9-Very Good","iPad-mini-2","Free market","20",
"Boomerce"," 1,452","010126-071501","iPhone","iphone-15128 GBGoodPink","iphone-15","Free market","20",
"Boomerce"," 94","061214-000104","Audio","jbl-earbuds-wave-200-twsNot relevantNewBlack","jbl-earbuds-wave-200-tws","Free market","20",
"Boomerce"," 1,602","010124-075001","iPhone","iphone-14-pro-max128 GBGoodSpace Black","iphone-14-pro-max","Free market","20",
"Boomerce"," 595","010109-070101","iPhone","iphone-11128 GBGoodBlack","iphone-11","Free market","20",
